"language","key","value"
"en","climate","climate"
"en","equipment","equipment"
"en","soil","soil"
"en","species","species"
"en","resources","resources"
"en","height","height"
"en","production","production"
"en","legislation","legislation"
"en","growth","growth"
"en","understory_tree","understory tree"
"en","food","food"
"en","wood","wood"
"en","animals","animals"
"en","biomass","biomass"
"en","timber","timber"
"en","fruits","fruits"
"en","biodiversity","biodiversity"
"en","windbreak","windbreak"
"en","shade","shade"
"en","fertility","fertility"
"en","bioticenvironment","biotic environment"
"en","cropproduction","crop production"
"en","economic","economic"
"en","firewood","firewood"
"en","microclimate","microclimate"
"en","otherProducts","other products"
"en","pestdiseasecontrol","pest and disease control"
"en","treegrowth","tree growth"
"en","work","work"
"en","crop","crop"
"en","location","location"
"en","size","size"
"en","lifespan","lifespan"
"fr","climate","climat"
"fr","equipment","équipement"
"fr","soil","sol"
"fr","species","espèces"
"fr","resources","ressources"
"fr","height","hauteur"
"fr","production","production"
"fr","legislation","législation"
"fr","growth","croissance"
"fr","understory_tree","sous-étage"
"fr","food","nourriture"
"fr","wood","bois"
"fr","animals","animaux"
"fr","biomass","biomasse"
"fr","timber","bois"
"fr","fruits","fruits"
"fr","biodiversity","biodiversité"
"fr","windbreak","brise-vent"
"fr","shade","ombre"
"fr","fertility","fertilité"
"fr","bioticenvironment","environnement biotique"
"fr","cropproduction","production de cultures"
"fr","economic","économique"
"fr","firewood","bois de chauffage"
"fr","microclimate","microclimat"
"fr","otherProducts","autres produits"
"fr","pestdiseasecontrol","contrôle des ravageurs et des maladies"
"fr","treegrowth","croissance des arbres"
"fr","work","travail"
"fr","crop","culture"
"fr","location","emplacement"
"fr","size","taille"
"fr","lifespan","durée de vie"
"es","climate","clima"
"es","equipment","equipo"
"es","soil","suelo"
"es","species","especies"
"es","resources","recursos"
"es","height","altura"
"es","production","producción"
"es","legislation","legislación"
"es","growth","crecimiento"
"es","understory_tree","sotobosque"
"es","food","comida"
"es","wood","madera"
"es","animals","animales"
"es","biomass","biomasa"
"es","timber","madera"
"es","fruits","frutas"
"es","biodiversity","biodiversidad"
"es","windbreak","rompevientos"
"es","shade","sombra"
"es","fertility","fertilidad"
"es","bioticenvironment","entorno biótico"
"es","cropproduction","producción de cultivos"
"es","economic","económico"
"es","firewood","leña"
"es","microclimate","microclima"
"es","otherProducts","otros productos"
"es","pestdiseasecontrol","control de plagas y enfermedades"
"es","treegrowth","crecimiento de árboles"
"es","work","trabajo"
"es","crop","cultivo"
"es","location","ubicación"
"es","size","tamaño"
"es","lifespan","vida útil"
"de","climate","Klima"
"de","equipment","Ausrüstung"
"de","soil","Boden"
"de","species","Arten"
"de","resources","Ressourcen"
"de","height","Höhe"
"de","production","Produktion"
"de","legislation","Gesetzgebung"
"de","growth","Wachstum"
"de","understory_tree","Unterholz"
"de","food","Nahrung"
"de","wood","Holz"
"de","animals","Tiere"
"de","biomass","Biomasse"
"de","timber","Holz"
"de","fruits","Früchte"
"de","biodiversity","Biodiversität"
"de","windbreak","Windschutz"
"de","shade","Schatten"
"de","fertility","Fruchtbarkeit"
"de","bioticenvironment","Biotische Umwelt"
"de","cropproduction","Ernteerzeugung"
"de","economic","Wirtschaftlich"
"de","firewood","Brennholz"
"de","microclimate","Mikroklima"
"de","otherProducts","andere Produkte"
"de","pestdiseasecontrol","Schädlings- und Krankheitsbekämpfung"
"de","treegrowth","Baumwachstum"
"de","work","Arbeit"
"de","crop","Ernte"
"de","location","Ort"
"de","size","Größe"
"de","lifespan","Lebensdauer"
"nl","climate","klimaat"
"nl","equipment","uitrusting"
"nl","soil","bodem"
"nl","species","soorten"
"nl","resources","hulpbronnen"
"nl","height","hoogte"
"nl","production","productie"
"nl","legislation","wetgeving"
"nl","growth","groei"
"nl","understory_tree","ondergroei"
"nl","food","voedsel"
"nl","wood","hout"
"nl","animals","dieren"
"nl","biomass","biomassa"
"nl","timber","hout"
"nl","fruits","vruchten"
"nl","biodiversity","biodiversiteit"
"nl","windbreak","windbreker"
"nl","shade","schaduw"
"nl","fertility","vruchtbaarheid"
"nl","bioticenvironment","biotische omgeving"
"nl","cropproduction","gewasproductie"
"nl","economic","economisch"
"nl","firewood","brandhout"
"nl","microclimate","microklimaat"
"nl","otherProducts","andere producten"
"nl","pestdiseasecontrol","ongedierte- en ziektebestrijding"
"nl","treegrowth","boomgroei"
"nl","work","werk"
"nl","crop","gewas"
"nl","location","locatie"
"nl","size","grootte"
"nl","lifespan","levensduur"
"cz","climate","klima"
"cz","equipment","vybavení"
"cz","soil","půda"
"cz","species","druh"
"cz","resources","zdroje"
"cz","height","výška"
"cz","production","produkce"
"cz","legislation","legislativa"
"cz","growth","růst"
"cz","understory_tree","podrost"
"cz","food","potrava"
"cz","wood","dřevo"
"cz","animals","zvířata"
"cz","biomass","biomasa"
"cz","timber","dřevo"
"cz","fruits","ovoce"
"cz","biodiversity","biodiverzita"
"cz","windbreak","protivětrný pás"
"cz","shade","stín"
"cz","fertility","plodnost"
"cz","bioticenvironment","biotické prostředí"
"cz","cropproduction","plodiny"
"cz","economic","ekonomické"
"cz","firewood","palivo"
"cz","microclimate","mikroklima"
"cz","otherProducts","jiné produkty"
"cz","pestdiseasecontrol","kontrola škůdců a nemocí"
"cz","treegrowth","růst stromů"
"cz","work","práce"
"cz","crop","plodina"
"cz","location","umístění"
"cz","size","velikost"
"cz","lifespan","doba života"
